,vectorized
0,"  (0, 30)	0.582395312959625
  (0, 95)	0.26945683667558384
  (0, 56)	0.5721739360992488
  (0, 4)	0.28978361948673675
  (0, 105)	0.2187523453378277
  (0, 10)	0.19051217904391515
  (0, 119)	0.2717768025417995
  (0, 167)	0.16656374831946807
  (0, 58)	0.2958932691115323
  (0, 156)	0.17431883418533078
  (0, 75)	0.16066833249347945"
13,"  (0, 134)	0.36706911409985177
  (0, 25)	0.4213585814057094
  (0, 93)	0.5858909256399893
  (0, 150)	0.34898855542429025
  (0, 79)	0.3207122913407716
  (0, 66)	0.34612085890372685"
14,"  (0, 173)	0.5216191786554658
  (0, 176)	0.28835649589319795
  (0, 36)	0.2661935433422174
  (0, 100)	0.5637866540893552
  (0, 26)	0.23655287821912005
  (0, 152)	0.25686291039950065
  (0, 105)	0.14436668235858818
  (0, 167)	0.10992456199249846
  (0, 75)	0.31810156027834596"
15,"  (0, 133)	0.33404374208061116
  (0, 140)	0.32565407574318334
  (0, 84)	0.3560349198689121
  (0, 79)	0.1924782766200672
  (0, 10)	0.16816363291966863
  (0, 116)	0.28867692786828525
  (0, 66)	0.415454899751623
  (0, 17)	0.266048814897572
  (0, 156)	0.15386989215093344
  (0, 81)	0.24261778082554158
  (0, 75)	0.42546209837357435"
16,"  (0, 183)	0.3678583254746928
  (0, 9)	0.3158643145916311
  (0, 134)	0.22857834322146178
  (0, 52)	0.2206046397583188
  (0, 137)	0.3151062918117441
  (0, 186)	0.6027611479810201
  (0, 119)	0.2489102846662274
  (0, 77)	0.20667635528852044
  (0, 167)	0.15254955397783135
  (0, 58)	0.2709976611563254"
17,"  (0, 48)	0.42959996955076535
  (0, 61)	0.3793582527933201
  (0, 110)	0.7312162804356014
  (0, 146)	0.3699377426344939"
18,"  (0, 8)	0.31534629894070715
  (0, 47)	0.35095597324986155
  (0, 159)	0.2998333904840285
  (0, 97)	0.3527141765375615
  (0, 7)	0.33413836406237035
  (0, 99)	0.21609431130880918
  (0, 96)	0.2620712662930452
  (0, 41)	0.23764949562145596
  (0, 74)	0.27894874901011096
  (0, 79)	0.36580966071881926
  (0, 119)	0.22796342584568113
  (0, 17)	0.1264080659144084"
19,"  (0, 114)	0.2524170081206551
  (0, 83)	0.3026564188830492
  (0, 164)	0.2388644111578795
  (0, 122)	0.29495216621129633
  (0, 128)	0.3040240094323838
  (0, 117)	0.1960122591583666
  (0, 174)	0.2826568949016062
  (0, 77)	0.40537484931359696
  (0, 17)	0.1353594133435011
  (0, 156)	0.31314160660022866
  (0, 75)	0.14431010854884926
  (0, 30)	0.2527564942156083
  (0, 172)	0.2475067687936573
  (0, 130)	0.25140798743383114"
20,"  (0, 109)	0.2532991711941293
  (0, 3)	0.26200313401802805
  (0, 46)	0.5167076120311829
  (0, 185)	0.2783775974913888
  (0, 134)	0.3384739439335642
  (0, 63)	0.20546093657671952
  (0, 42)	0.2089253617126776
  (0, 150)	0.16090094236313804
  (0, 197)	0.23057841207279692
  (0, 110)	0.2464976448870138
  (0, 79)	0.29572837906637994
  (0, 119)	0.18429052496670156
  (0, 116)	0.2217651816388143
  (0, 75)	0.1089484130500575"
21,"  (0, 106)	0.28735655593467224
  (0, 121)	0.2757813790100425
  (0, 38)	0.28075965415943094
  (0, 65)	0.3081187271756028
  (0, 109)	0.26945776573754
  (0, 56)	0.20636955755501354
  (0, 113)	0.23543304307415513
  (0, 99)	0.18583953156358732
  (0, 21)	0.29479778048575717
  (0, 49)	0.2003234316893255
  (0, 88)	0.22868297848654243
  (0, 105)	0.1577975572576882
  (0, 79)	0.15729682002658268
  (0, 120)	0.23495785395234156
  (0, 58)	0.213443357613764
  (0, 17)	0.10871001468345955
  (0, 75)	0.34769552331404796"
22,"  (0, 198)	0.6287603206745056
  (0, 99)	0.37716663044646337
  (0, 105)	0.3202546436854367
  (0, 10)	0.5578217680200992
  (0, 17)	0.22063007579158"
23,"  (0, 168)	0.08433778598954998
  (0, 142)	0.10206999724462872
  (0, 32)	0.10929152166855265
  (0, 86)	0.10000555884945264
  (0, 163)	0.08748562778532139
  (0, 187)	0.0743115552406771
  (0, 45)	0.09608703876706157
  (0, 151)	0.8618890377852944
  (0, 195)	0.21072636330577618
  (0, 159)	0.09045697279654877
  (0, 113)	0.08259137609816619
  (0, 42)	0.07796781875534768
  (0, 52)	0.060953553541062196
  (0, 150)	0.06004582406317095
  (0, 155)	0.06394727724039082
  (0, 181)	0.08452093117097799
  (0, 199)	0.1075728228836377
  (0, 57)	0.21282123795825095
  (0, 77)	0.11421027501100305
  (0, 66)	0.05955241762314896
  (0, 167)	0.08429956338397697
  (0, 58)	0.07487725764467663
  (0, 17)	0.07627229883386237
  (0, 156)	0.08822448918021679
  (0, 81)	0.06955496452280237
  (0, 75)	0.08131583502104038"
24,"  (0, 108)	0.34618682004053397
  (0, 50)	0.4060164899893246
  (0, 93)	0.39397944513401634
  (0, 160)	0.36487759247649837
  (0, 199)	0.21021211315736263
  (0, 10)	0.18841815930539507
  (0, 156)	0.3448056080644724
  (0, 30)	0.27831452238641446
  (0, 172)	0.27253395944576936
  (0, 130)	0.2768296583789836"
25,"  (0, 0)	0.3185602362393543
  (0, 190)	0.610392098609181
  (0, 150)	0.39727961689931895
  (0, 66)	0.3940151047616994
  (0, 172)	0.46136955367531995"
26,"  (0, 94)	0.3363676415385091
  (0, 114)	0.30575369221910403
  (0, 52)	0.2620618171238154
  (0, 41)	0.3082504144806675
  (0, 128)	0.7365309025671831
  (0, 105)	0.2379974371359336
  (0, 75)	0.17480338920846186"
27,"  (0, 125)	0.39845843221490773
  (0, 166)	0.39765909756875223
  (0, 1)	0.41314216122293823
  (0, 159)	0.43728826079208266
  (0, 134)	0.30531295802619457
  (0, 25)	0.3504686990464235
  (0, 79)	0.26675526374570896
  (0, 17)	0.18435826378298942"
28,"  (0, 107)	0.7547357509370923
  (0, 72)	0.42245200702626073
  (0, 82)	0.39508005144114827
  (0, 174)	0.3095480592253279"
29,"  (0, 194)	0.4060667239250336
  (0, 14)	0.3197462476291485
  (0, 15)	0.4046730310397727
  (0, 28)	0.29419546506119854
  (0, 133)	0.4019518429975054
  (0, 141)	0.274235796432154
  (0, 164)	0.2824652338626021
  (0, 150)	0.25202753173033327
  (0, 17)	0.3201341561117311"
30,"  (0, 182)	0.30519910502354125
  (0, 31)	0.29448399409794723
  (0, 54)	0.2838513490540898
  (0, 154)	0.32416640518452244
  (0, 45)	0.3102344873136145
  (0, 95)	0.22015538679642027
  (0, 42)	0.25173328878585244
  (0, 150)	0.19386886808657772
  (0, 181)	0.2728912045324292
  (0, 167)	0.4082647175326634
  (0, 58)	0.2417548499247612
  (0, 156)	0.14242440770644585
  (0, 75)	0.2625429684578715"
31,"  (0, 70)	0.17775280241759875
  (0, 175)	0.35395586089280595
  (0, 87)	0.17775280241759875
  (0, 184)	0.5692114886835545
  (0, 28)	0.24202331532171015
  (0, 82)	0.17547748036760757
  (0, 25)	0.12516412867227794
  (0, 193)	0.11829837649480476
  (0, 26)	0.15659764813908933
  (0, 41)	0.12378139241056821
  (0, 122)	0.14346844131576525
  (0, 74)	0.1452923957333249
  (0, 155)	0.11040238885132311
  (0, 146)	0.16069641730393042
  (0, 79)	0.09526725281407432
  (0, 57)	0.18371363162625864
  (0, 77)	0.09858971121773635
  (0, 66)	0.10281484140054212
  (0, 167)	0.29107957612419233
  (0, 17)	0.06584052017402929
  (0, 156)	0.22847402065458405
  (0, 30)	0.12294393604003218
  (0, 172)	0.12039040360357768
  (0, 130)	0.12228800539008836"
32,"  (0, 28)	0.5388721423031692
  (0, 26)	0.6973386842517919
  (0, 10)	0.3706402021191982
  (0, 17)	0.29319177046536044"
33,"  (0, 35)	0.23055823523931093
  (0, 87)	0.3044565335790182
  (0, 31)	0.26971287870951677
  (0, 125)	0.2437375872010298
  (0, 61)	0.2822512867613202
  (0, 4)	0.4336945125053957
  (0, 0)	0.1423781499799164
  (0, 197)	0.25445331929063175
  (0, 155)	0.1890981641434239
  (0, 117)	0.3266080326982829
  (0, 119)	0.20337262005597193
  (0, 77)	0.16886530797635763
  (0, 66)	0.1761021474066302
  (0, 167)	0.12464090233331739
  (0, 156)	0.26088818252191154
  (0, 81)	0.20568062732177278"
34,"  (0, 71)	0.40866955342966027
  (0, 39)	0.44757434523531353
  (0, 134)	0.26009224294292155
  (0, 99)	0.2684808536988999
  (0, 141)	0.26907100355145386
  (0, 52)	0.2510192118365526
  (0, 150)	0.24728099601706693
  (0, 79)	0.22724543141892933
  (0, 57)	0.4382207132384083
  (0, 17)	0.15705247049575466
  (0, 75)	0.16743762775915916"
35,"  (0, 50)	0.27930227042690053
  (0, 114)	0.1911978277157835
  (0, 9)	0.23463938557344544
  (0, 25)	0.3898247644066805
  (0, 95)	0.18332429055816296
  (0, 0)	0.25889522968859224
  (0, 42)	0.20961933863200816
  (0, 83)	0.4585051559363762
  (0, 52)	0.1638758629459773
  (0, 150)	0.3228707979437352
  (0, 186)	0.22388015815060108
  (0, 79)	0.14835534261240627
  (0, 167)	0.11332123307800175
  (0, 75)	0.32793090462565094"
36,"  (0, 192)	0.334140088631614
  (0, 98)	0.3507954252930696
  (0, 188)	0.35271651350480865
  (0, 15)	0.31290148588664934
  (0, 32)	0.35469495602799
  (0, 197)	0.27926171812080136
  (0, 117)	0.17922564464407717
  (0, 77)	0.1853291447246296
  (0, 167)	0.13679299853806512
  (0, 17)	0.12376714711263292
  (0, 156)	0.28632396029099305
  (0, 75)	0.3958538972671233"
37,"  (0, 80)	0.44687463557893764
  (0, 62)	0.44425434921361634
  (0, 187)	0.30033900000978625
  (0, 79)	0.2230193823769155
  (0, 91)	0.4107904672030131
  (0, 57)	0.4300711886745559
  (0, 77)	0.23079721368064582
  (0, 167)	0.1703533621790375
  (0, 75)	0.1643238154287181"
38,"  (0, 138)	0.4821046191711017
  (0, 178)	0.5030144886199607
  (0, 100)	0.5083513421022774
  (0, 41)	0.3371922188153182
  (0, 199)	0.2529595983138537
  (0, 66)	0.28007735107715526"
39,"  (0, 16)	0.34771229159409356
  (0, 13)	0.30789209242623056
  (0, 161)	0.36790682755181253
  (0, 35)	0.26096179056034574
  (0, 114)	0.23802826493767268
  (0, 134)	0.2113883296475949
  (0, 0)	0.3223069166613169
  (0, 158)	0.3347230962717063
  (0, 79)	0.1846922907971404
  (0, 10)	0.16136120469329338
  (0, 116)	0.27699958688593046
  (0, 66)	0.19932461601753498
  (0, 17)	0.25528680924491426
  (0, 156)	0.14764566352680025"
40,"  (0, 168)	0.4153586099154446
  (0, 61)	0.470079916747184
  (0, 0)	0.23712596550808415
  (0, 118)	0.5116341511834129
  (0, 146)	0.4584065378274702
  (0, 167)	0.2075851829213665
  (0, 17)	0.1878182812542285"
41,"  (0, 34)	0.3832020721523951
  (0, 162)	0.37661822336132333
  (0, 123)	0.39631294169733927
  (0, 159)	0.33518023648348705
  (0, 113)	0.3060349701768503
  (0, 196)	0.3610054618817673
  (0, 41)	0.26566558852565186
  (0, 77)	0.21159798854385628
  (0, 17)	0.2826201935562514
  (0, 75)	0.15065428329945404"
42,"  (0, 182)	0.5009053077260636
  (0, 25)	0.3841679327289717
  (0, 181)	0.4478802543392417
  (0, 105)	0.2933358916572194
  (0, 167)	0.2233536081892279
  (0, 156)	0.46750557649503427
  (0, 75)	0.21544815211132498"
43,"  (0, 162)	0.3501476474168496
  (0, 195)	0.3629736614091952
  (0, 96)	0.27237528449542964
  (0, 52)	0.20998354603212868
  (0, 66)	0.20515666603212668
  (0, 167)	0.14520499806793713
  (0, 17)	0.13137813009021093
  (0, 156)	0.6078625447966706
  (0, 30)	0.24532224806512254
  (0, 172)	0.24022693114266572
  (0, 130)	0.2440134044832265"
44,"  (0, 180)	0.7235738012810827
  (0, 56)	0.47656203826046556
  (0, 10)	0.3173541003198106
  (0, 167)	0.27746094112773445
  (0, 75)	0.26764039109856014"
45,"  (0, 157)	0.32317087328037286
  (0, 125)	0.2673977931535711
  (0, 50)	0.33702263511660957
  (0, 163)	0.28381626366256263
  (0, 113)	0.2679385902385211
  (0, 160)	0.30287441703332585
  (0, 41)	0.4651890809949973
  (0, 105)	0.3591684028939829
  (0, 117)	0.17915633811891046
  (0, 120)	0.2673977931535711
  (0, 75)	0.13190027354496087"
46,"  (0, 153)	0.4187142111568812
  (0, 101)	0.36683520319377244
  (0, 132)	0.3844535212907234
  (0, 28)	0.29461635514042495
  (0, 94)	0.328848258942734
  (0, 187)	0.3123506439965501
  (0, 106)	0.4237155973206501
  (0, 10)	0.20263928461797265
  (0, 75)	0.1708957197415517"
47,"  (0, 5)	0.398492008187489
  (0, 90)	0.398492008187489
  (0, 52)	0.24192230178275867
  (0, 122)	0.3298198906818974
  (0, 128)	0.33996416043890915
  (0, 117)	0.21918381789951483
  (0, 10)	0.19134383090497678
  (0, 77)	0.2266480870495139
  (0, 167)	0.16729085695877116
  (0, 30)	0.28263606388166546
  (0, 172)	0.2767657429851663
  (0, 130)	0.2811281435803413"
48,"  (0, 51)	0.34490966402317746
  (0, 2)	0.3414429533567957
  (0, 183)	0.3277694246577568
  (0, 95)	0.21989102965034615
  (0, 4)	0.23647875945883007
  (0, 164)	0.21702176295502412
  (0, 197)	0.5549787101378791
  (0, 105)	0.17851348308031867
  (0, 167)	0.13592482778414397
  (0, 58)	0.241464556677316
  (0, 156)	0.14225338799850024
  (0, 75)	0.26222771335158823"
49,"  (0, 86)	0.49244279263246404
  (0, 134)	0.310993357019722
  (0, 137)	0.428719370905692
  (0, 181)	0.4161940982139763
  (0, 10)	0.47478744757548896
  (0, 167)	0.20755202454793462
  (0, 17)	0.1877882803234322"
50,"  (0, 29)	0.37581858952067837
  (0, 132)	0.33677352537740673
  (0, 1)	0.31466895895199387
  (0, 95)	0.2510638626944068
  (0, 42)	0.2870751098622237
  (0, 83)	0.3139629646573373
  (0, 41)	0.2639849123086874
  (0, 150)	0.22108687680223518
  (0, 186)	0.3066053991797203
  (0, 167)	0.15519419938968612
  (0, 58)	0.2756957589384048
  (0, 75)	0.2994024027458446"
51,"  (0, 60)	0.402587714083786
  (0, 35)	0.3479442029904384
  (0, 14)	0.16998261453207156
  (0, 168)	0.18818561424805422
  (0, 134)	0.14092358832068982
  (0, 25)	0.1617661660448376
  (0, 95)	0.1521487105706085
  (0, 0)	0.322302423072818
  (0, 141)	0.14578847452148477
  (0, 169)	0.24671442925749687
  (0, 155)	0.14268761630124666
  (0, 181)	0.1885942719814677
  (0, 79)	0.12312647721703339
  (0, 120)	0.18391683218222107
  (0, 66)	0.3986436740854525
  (0, 167)	0.18810032691897008
  (0, 81)	0.1552002292821278
  (0, 75)	0.272163956795546"
52,"  (0, 73)	0.3665821123569718
  (0, 189)	0.1734512316616607
  (0, 90)	0.18821459843960175
  (0, 157)	0.18674208856192742
  (0, 87)	0.1930059107358339
  (0, 28)	0.13139576354816382
  (0, 9)	0.16360460232093155
  (0, 176)	0.4145442413957158
  (0, 0)	0.18051722643439244
  (0, 68)	0.20487880787349422
  (0, 42)	0.14615913032610484
  (0, 26)	0.3400708319317298
  (0, 96)	0.1482149551239967
  (0, 128)	0.1605708938352419
  (0, 150)	0.11256240798945548
  (0, 199)	0.10082846032112575
  (0, 88)	0.15038748340642513
  (0, 117)	0.3105728101654148
  (0, 10)	0.09037496752188555
  (0, 77)	0.10704977217775849
  (0, 167)	0.07901433609252624
  (0, 17)	0.07149034719382533
  (0, 156)	0.16538637117074534
  (0, 30)	0.13349385226066734
  (0, 172)	0.13072119918972708
  (0, 130)	0.132781635683769"
53,"  (0, 94)	0.2803102584169947
  (0, 140)	0.6689929191663263
  (0, 0)	0.1725073448452466
  (0, 27)	0.38939175641223894
  (0, 199)	0.19270903191228997
  (0, 88)	0.28742902794188163
  (0, 105)	0.19833395032000523
  (0, 79)	0.19770457940423578
  (0, 89)	0.27035910535886454
  (0, 75)	0.14567151280388774"
54,"  (0, 54)	1.0"
55,"  (0, 34)	0.40393318643858156
  (0, 114)	0.277769803647167
  (0, 8)	0.37159326351730654
  (0, 183)	0.39699315345214764
  (0, 140)	0.3646532305308727
  (0, 134)	0.24668202675379786
  (0, 26)	0.3542801847148183
  (0, 96)	0.3088157921721997
  (0, 167)	0.16463166468565965
  (0, 17)	0.14895492956737627"
56,"  (0, 18)	0.4457574805477361
  (0, 141)	0.29236539055640454
  (0, 117)	0.4942294278776763
  (0, 66)	0.266481086952356
  (0, 17)	0.1706490341519054
  (0, 156)	0.19739045626437987
  (0, 75)	0.18193326961105746
  (0, 30)	0.31865276708947937
  (0, 172)	0.31203438310945114
  (0, 130)	0.3169526904256304"
57,"  (0, 157)	0.3717347558051166
  (0, 138)	0.3825288732519782
  (0, 14)	0.2842770511161971
  (0, 4)	0.27364668950733834
  (0, 141)	0.243815038013061
  (0, 105)	0.41314174506956486
  (0, 117)	0.20607871286653115
  (0, 10)	0.17990329197535201
  (0, 57)	0.3970877517313066
  (0, 66)	0.22222909565800938
  (0, 167)	0.1572884568157659
  (0, 75)	0.1517213339158989"
58,"  (0, 191)	0.3603626858598931
  (0, 73)	0.4056620960848472
  (0, 98)	0.44845524066449466
  (0, 25)	0.30078570326659976
  (0, 193)	0.2842864065506641
  (0, 199)	0.44630966083850515
  (0, 156)	0.36603521956717283"
59,"  (0, 35)	0.4750848417493768
  (0, 61)	0.581602768451866
  (0, 63)	0.46720692853684537
  (0, 0)	0.29338228053996007
  (0, 66)	0.3628734438636067"
60,"  (0, 11)	0.3082468702394142
  (0, 153)	0.27935343333435175
  (0, 101)	0.24474133131748327
  (0, 151)	0.5371074923690664
  (0, 56)	0.20301834658554688
  (0, 118)	0.2913270904508004
  (0, 200)	0.20715267248840505
  (0, 199)	0.1508325026534244
  (0, 79)	0.15474249546931468
  (0, 66)	0.1670020354281829
  (0, 167)	0.47280023994723114
  (0, 17)	0.10694468554279415"
61,"  (0, 145)	0.41456789192441346
  (0, 54)	0.3334839123270487
  (0, 52)	0.23121085525237947
  (0, 122)	0.31521665609930366
  (0, 27)	0.41225548591978955
  (0, 146)	0.35306849956079517
  (0, 10)	0.18287181654932202
  (0, 17)	0.14465919065376834
  (0, 30)	0.270121958883839
  (0, 172)	0.2645115546131972
  (0, 130)	0.26868080385202775"
62,"  (0, 194)	0.5051186840842261
  (0, 14)	0.3977420318566214
  (0, 15)	0.5033850273358575
  (0, 169)	0.5772866751776488"
63,"  (0, 157)	0.647935042853171
  (0, 125)	0.26805695514442396
  (0, 50)	0.3378534292249153
  (0, 159)	0.2941791419916673
  (0, 190)	0.3000303968258619
  (0, 155)	0.20796578273288385
  (0, 181)	0.27487427716753887
  (0, 199)	0.17492117942475255
  (0, 117)	0.1795979762009441
  (0, 17)	0.12402426664853941
  (0, 156)	0.14345939139519565"
64,"  (0, 69)	0.43320579776812296
  (0, 12)	0.5083214232231555
  (0, 99)	0.29971844895993305
  (0, 76)	0.3744641951032179
  (0, 158)	0.45976110656589236
  (0, 66)	0.2737836350308338
  (0, 167)	0.19377753092097721"
65,"  (0, 145)	0.3496841684555815
  (0, 184)	0.26372223687942276
  (0, 25)	0.23195992805315777
  (0, 0)	0.15405208784843036
  (0, 42)	0.24946227714207195
  (0, 83)	0.2728272616155555
  (0, 160)	0.29871121153085367
  (0, 150)	0.19211988026333557
  (0, 155)	0.2046027919221369
  (0, 158)	0.31997322530892053
  (0, 105)	0.17711570000357332
  (0, 10)	0.15425067968281198
  (0, 174)	0.2547988471460769
  (0, 66)	0.19054119951980114
  (0, 17)	0.1220186844630104
  (0, 75)	0.39026165594762996"
66,"  (0, 55)	0.42111406903954074
  (0, 180)	0.447594317166526
  (0, 125)	0.33563365968234987
  (0, 100)	0.4401428353171441
  (0, 134)	0.25717439302553546
  (0, 56)	0.2947957205263972
  (0, 52)	0.24820314789618997
  (0, 105)	0.22541136948789034
  (0, 79)	0.22469607409942788"
67,"  (0, 103)	0.24771436313684903
  (0, 178)	0.49796419430108635
  (0, 14)	0.17733991634000412
  (0, 166)	0.19149232539837746
  (0, 48)	0.25162373273415817
  (0, 133)	0.22293336274758493
  (0, 0)	0.11208417774813084
  (0, 26)	0.21115192342623265
  (0, 96)	0.18405502569680776
  (0, 164)	0.1566628578554961
  (0, 49)	0.16359320349605627
  (0, 88)	0.1867528961547172
  (0, 117)	0.12855762206520266
  (0, 10)	0.11222866785388039
  (0, 120)	0.19187724416699015
  (0, 119)	0.16010078020168148
  (0, 116)	0.38531312023075454
  (0, 167)	0.09812090586782861
  (0, 17)	0.17755506087526873
  (0, 156)	0.20537868645081758
  (0, 75)	0.09464798005323871"
68,"  (0, 153)	0.2713830437947606
  (0, 157)	0.2713830437947606
  (0, 16)	0.2830150737821187
  (0, 35)	0.2124058372258147
  (0, 159)	0.2464297366077829
  (0, 173)	0.27244271795402164
  (0, 134)	0.34411256178272615
  (0, 0)	0.26233675945477924
  (0, 76)	0.22189794141659167
  (0, 137)	0.2371878975519094
  (0, 155)	0.1742100160987879
  (0, 199)	0.14652901589462616
  (0, 79)	0.1503274505117584
  (0, 89)	0.20557133857855006
  (0, 66)	0.16223720665776253
  (0, 167)	0.11482762775838291
  (0, 81)	0.37897380505246875"
69,"  (0, 35)	0.2738365705656656
  (0, 134)	0.22181735925404023
  (0, 93)	0.3540498858234506
  (0, 95)	0.23948599091785072
  (0, 0)	0.16910410627282882
  (0, 52)	0.2140795052616542
  (0, 164)	0.23636103771339562
  (0, 186)	0.2924662157878698
  (0, 105)	0.194421202427708
  (0, 117)	0.1939579896169487
  (0, 167)	0.14803738071528322
  (0, 17)	0.1339408045219422
  (0, 156)	0.30985978500727523
  (0, 75)	0.2855953873060977
  (0, 30)	0.25010752741275555
  (0, 172)	0.2449128207487201
  (0, 130)	0.24877315340216366"
70,"  (0, 16)	0.4668306360669982
  (0, 31)	0.4098616410830318
  (0, 187)	0.3339313518657695
  (0, 155)	0.28735774224961963
  (0, 105)	0.24875304580084354
  (0, 79)	0.4959273610617717
  (0, 10)	0.21663989351127905
  (0, 167)	0.18940706510134034
  (0, 17)	0.17137113990557323"
71,"  (0, 157)	0.3841187719050158
  (0, 198)	0.419074406627737
  (0, 97)	0.4103163805687223
  (0, 52)	0.2350352033632726
  (0, 105)	0.21345259928024204
  (0, 119)	0.2651924249636311
  (0, 116)	0.3191181223338716
  (0, 66)	0.4592649246414203
  (0, 75)	0.15677579657393917"
72,"  (0, 53)	0.5389967995557039
  (0, 20)	0.5033395691087313
  (0, 56)	0.36293700614162383
  (0, 105)	0.2775146377502882
  (0, 117)	0.2768534529938213
  (0, 120)	0.41321453170335626"
73,"  (0, 29)	0.5027034152104816
  (0, 132)	0.4504758574492522
  (0, 95)	0.33582868099575286
  (0, 0)	0.23713290594960112
  (0, 99)	0.3210843372270138
  (0, 105)	0.27263480305744564
  (0, 119)	0.3387200942789288
  (0, 167)	0.20759125873351458
  (0, 75)	0.20024370078995085"
74,"  (0, 95)	0.3698062259280111
  (0, 113)	0.4479245536836121
  (0, 0)	0.2611248828794138
  (0, 150)	0.32565142045935386
  (0, 75)	0.2205034038052459
  (0, 30)	0.3862076459429495
  (0, 172)	0.3781861543355802
  (0, 130)	0.3841471504002157"
75,"  (0, 95)	0.4600541675740958
  (0, 22)	0.7216171056307306
  (0, 63)	0.5173189690692125"
76,"  (0, 125)	0.35233677832746296
  (0, 164)	0.5753479195515239
  (0, 197)	0.36782698878382797
  (0, 117)	0.23606539996203235
  (0, 66)	0.5091316771149026
  (0, 167)	0.1801756326558215
  (0, 17)	0.1630187529431153
  (0, 156)	0.18856447786541694"
77,"  (0, 189)	0.3347981949271452
  (0, 60)	0.3264243755440261
  (0, 46)	0.34886336948529606
  (0, 140)	0.3378145187117657
  (0, 0)	0.348437085078642
  (0, 196)	0.35252807119723434
  (0, 83)	0.30854218561725527
  (0, 49)	0.2542818268825349
  (0, 79)	0.19966572268592023
  (0, 10)	0.17444313138085762
  (0, 66)	0.21548432441042026
  (0, 167)	0.15251466849625067"
78,"  (0, 191)	0.2977748840810305
  (0, 189)	0.31721140518241786
  (0, 184)	0.5651571416697814
  (0, 28)	0.240299445503117
  (0, 183)	0.34845519882718246
  (0, 186)	0.28548389572805344
  (0, 10)	0.16527971676126987
